q0 q1 q2 q3 wx wy wz
 -0.149361   0.975679  0.0937179   0.130223 -0.0524273  -0.100384   0.149167
 -0.147298   0.977381  0.0868454   0.124452 -0.0530498   -0.10013   0.149115
 -0.145192   0.978999  0.0799622   0.118686 -0.0536704  -0.099873   0.149062
 -0.143044   0.980534  0.0730689   0.112924 -0.0542893  -0.099613   0.149009
 -0.140853   0.981986  0.0661665   0.107168 -0.0549064   -0.09935   0.148955
 -0.138621   0.983355  0.0592558   0.101419 -0.0555216  -0.099084   0.148901
 -0.136347    0.98464  0.0523376  0.0956752  -0.056135 -0.0988151   0.148847
 -0.134031   0.985842  0.0454127  0.0899385 -0.0567465 -0.0985433   0.148792
 -0.131673    0.98696  0.0384819  0.0842091 -0.0573562 -0.0982685   0.148736
 -0.129274   0.987994  0.0315462  0.0784875 -0.0579639 -0.0979908    0.14868
 -0.126834   0.988945  0.0246063   0.072774 -0.0585697 -0.0977102   0.148624
 -0.124353   0.989811   0.017663   0.067069 -0.0591735 -0.0974267   0.148568
 -0.121831   0.990594  0.0107171  0.0613732 -0.0597754 -0.0971403   0.148511
 -0.119269   0.991292 0.00376958  0.0556868 -0.0603753 -0.0968511   0.148453
  -0.116667    0.991906 -0.00317885   0.0500103  -0.0609733   -0.096559    0.148396
 -0.114024   0.992436 -0.0101273  0.0443441 -0.0615692  -0.096264   0.148338
 -0.111342   0.992882 -0.0170751  0.0386888  -0.062163 -0.0959663   0.148279
  -0.10862   0.993244 -0.0240212  0.0330446 -0.0627548 -0.0956657    0.14822
 -0.105858   0.993521 -0.0309649  0.0274121 -0.0633446 -0.0953623   0.148161
 -0.103058   0.993714 -0.0379054  0.0217916 -0.0639322 -0.0950561   0.148102
 -0.100218   0.993823 -0.0448418  0.0161837 -0.0645178 -0.0947472   0.148042
-0.0973403   0.993847 -0.0517734  0.0105886 -0.0651013 -0.0944355   0.147982
 -0.094424   0.993787 -0.0586992 0.00500692 -0.0656826  -0.094121   0.147921
 -0.0914695    0.993643  -0.0656185 -0.00056101  -0.0662617  -0.0938038    0.147861
 -0.0884772    0.993415  -0.0725305 -0.00611476  -0.0668387  -0.0934839      0.1478
-0.0854474   0.993103 -0.0794344 -0.0116539 -0.0674135 -0.0931613   0.147738
-0.0823803   0.992706 -0.0863293  -0.017178 -0.0679862  -0.092836   0.147677
-0.0792762   0.992226 -0.0932144 -0.0226867 -0.0685566  -0.092508   0.147615
-0.0761354   0.991661  -0.100089 -0.0281796 -0.0691247 -0.0921773   0.147553
-0.0729582   0.991012  -0.106952 -0.0336561 -0.0696906  -0.091844    0.14749
-0.0697448    0.99028  -0.113803 -0.0391161 -0.0702543  -0.091508   0.147427
-0.0664957   0.989464  -0.120641 -0.0445589 -0.0708157 -0.0911694   0.147364
-0.0632111   0.988564  -0.127465 -0.0499843 -0.0713748 -0.0908283   0.147301
-0.0598913    0.98758  -0.134274 -0.0553918 -0.0719316 -0.0904845   0.147238
-0.0565366   0.986514  -0.141069  -0.060781  -0.072486 -0.0901381   0.147174
-0.0531473   0.985363  -0.147846 -0.0661515 -0.0730382 -0.0897892    0.14711
-0.0497239    0.98413  -0.154607  -0.071503 -0.0735879 -0.0894377   0.147046
-0.0462665   0.982813   -0.16135  -0.076835 -0.0741354 -0.0890836   0.146981
-0.0427756   0.981414  -0.168075 -0.0821471 -0.0746804 -0.0887271   0.146917
-0.0392515   0.979931   -0.17478  -0.087439  -0.075223  -0.088368   0.146852
-0.0356944   0.978367  -0.181465 -0.0927103 -0.0757633 -0.0880065   0.146787
-0.0321049   0.976719  -0.188129 -0.0979605 -0.0763011 -0.0876424   0.146722
-0.0284832    0.97499  -0.194772  -0.103189 -0.0768364 -0.0872759   0.146657
-0.0248296   0.973178  -0.201391  -0.108396 -0.0773694  -0.086907   0.146591
-0.0211446   0.971284  -0.207988  -0.113581 -0.0778998 -0.0865356   0.146525
-0.0174285   0.969309  -0.214561  -0.118744 -0.0784278 -0.0861618    0.14646
-0.0136816   0.967252  -0.221109  -0.123883 -0.0789533 -0.0857856   0.146394
-0.00990444    0.965114   -0.227631   -0.128999  -0.0794763   -0.085407    0.146328
-0.00609724    0.962895   -0.234127   -0.134092  -0.0799968   -0.085026    0.146261
-0.00226044    0.960595   -0.240596    -0.13916  -0.0805147  -0.0846426    0.146195
0.00160559   0.958215  -0.247037  -0.144204 -0.0810302 -0.0842569   0.146128
0.00550045   0.955754  -0.253449  -0.149224  -0.081543 -0.0838689   0.146062
0.00942376   0.953213  -0.259833  -0.154218 -0.0820533 -0.0834786   0.145995
 0.0133751   0.950592  -0.266186  -0.159187  -0.082561 -0.0830859   0.145928
 0.0173541   0.947892  -0.272508   -0.16413 -0.0830662  -0.082691   0.145861
 0.0213604   0.945113  -0.278799  -0.169047 -0.0835687 -0.0822938   0.145794
 0.0253935   0.942254  -0.285058  -0.173938 -0.0840686 -0.0818943   0.145727
 0.0294531   0.939317  -0.291283  -0.178801 -0.0845659 -0.0814926    0.14566
 0.0335387   0.936302  -0.297475  -0.183638 -0.0850606 -0.0810887   0.145593
 0.0376498   0.933208  -0.303633  -0.188447 -0.0855526 -0.0806826   0.145526
 0.0417862   0.930037  -0.309756  -0.193228 -0.0860419 -0.0802742   0.145458
 0.0459474   0.926788  -0.315842  -0.197981 -0.0865286 -0.0798637   0.145391
 0.0501329   0.923462  -0.321892  -0.202705 -0.0870126  -0.079451   0.145324
 0.0543423    0.92006  -0.327905  -0.207401 -0.0874939 -0.0790362   0.145256
 0.0585752   0.916581   -0.33388  -0.212067 -0.0879725 -0.0786192   0.145189
 0.0628312   0.913026  -0.339817  -0.216704 -0.0884484 -0.0782001   0.145121
 0.0671098   0.909395  -0.345714  -0.221311 -0.0889216 -0.0777789   0.145054
 0.0714105   0.905689  -0.351571  -0.225888  -0.089392 -0.0773557   0.144987
  0.075733   0.901908  -0.357388  -0.230435 -0.0898597 -0.0769303   0.144919
 0.0800768   0.898053  -0.363163  -0.234951 -0.0903247 -0.0765029   0.144852
 0.0844414   0.894123  -0.368896  -0.239436 -0.0907869 -0.0760734   0.144784
 0.0888264   0.890119  -0.374587  -0.243889 -0.0912463 -0.0756419   0.144717
 0.0932314   0.886042  -0.380235  -0.248311 -0.0917029 -0.0752084    0.14465
 0.0976558   0.881893  -0.385838  -0.252701 -0.0921567  -0.074773   0.144583
  0.102099    0.87767  -0.391397  -0.257059 -0.0926078 -0.0743355   0.144515
 0.106561  0.873376 -0.396911 -0.261384 -0.093056 -0.073896  0.144448
  0.111041   0.869009  -0.402378  -0.265677 -0.0935014 -0.0734546   0.144381
  0.115539   0.864572    -0.4078  -0.269936  -0.093944 -0.0730113   0.144314
  0.120054   0.860064  -0.413174  -0.274162 -0.0943837 -0.0725661   0.144247
  0.124586   0.855485  -0.418501  -0.278354 -0.0948206 -0.0721189   0.144181
  0.129133   0.850836  -0.423779  -0.282513 -0.0952547 -0.0716699   0.144114
  0.133697   0.846118  -0.429008  -0.286637 -0.0956858  -0.071219   0.144047
  0.138276   0.841331  -0.434188  -0.290727 -0.0961141 -0.0707662   0.143981
  0.142869   0.836476  -0.439318  -0.294782 -0.0965396 -0.0703116   0.143914
  0.147477   0.831552  -0.444397  -0.298802 -0.0969621 -0.0698551   0.143848
  0.152099   0.826561  -0.449424  -0.302787 -0.0973818 -0.0693969   0.143782
  0.156734   0.821503    -0.4544  -0.306737 -0.0977985 -0.0689368   0.143716
  0.161382   0.816379  -0.459324   -0.31065 -0.0982123  -0.068475    0.14365
  0.166042   0.811188  -0.464194  -0.314528 -0.0986232 -0.0680113   0.143584
  0.170715   0.805932  -0.469011   -0.31837 -0.0990312  -0.067546   0.143519
  0.175398   0.800611  -0.473774  -0.322175 -0.0994363 -0.0670789   0.143454
  0.180093   0.795225  -0.478482  -0.325943 -0.0998384 -0.0666101   0.143388
  0.184797   0.789776  -0.483135  -0.329675  -0.100238 -0.0661396   0.143323
  0.189512   0.784263  -0.487732  -0.333369  -0.100634 -0.0656673   0.143259
  0.194236   0.778687  -0.492273  -0.337026  -0.101027 -0.0651935   0.143194
  0.198969   0.773049  -0.496757  -0.340645  -0.101417 -0.0647179    0.14313
  0.203711   0.767349  -0.501184  -0.344227  -0.101805 -0.0642407   0.143065
   0.20846   0.761588  -0.505553   -0.34777  -0.102189 -0.0637619   0.143001
  0.213217   0.755767  -0.509864  -0.351276   -0.10257 -0.0632814   0.142938
  0.217981   0.749885  -0.514116  -0.354742  -0.102949 -0.0627994   0.142874
  0.222751   0.743944  -0.518308   -0.35817  -0.103324 -0.0623158   0.142811
  0.227527   0.737944  -0.522441   -0.36156  -0.103696 -0.0618306   0.142748
  0.232308   0.731885  -0.526514   -0.36491  -0.104066 -0.0613439   0.142685
  0.237095   0.725769  -0.530526  -0.368221  -0.104432 -0.0608556   0.142622
  0.241885   0.719596  -0.534477  -0.371493  -0.104795 -0.0603658    0.14256
   0.24668   0.713367  -0.538366  -0.374725  -0.105155 -0.0598744   0.142498
  0.251478   0.707081  -0.542194  -0.377917  -0.105513 -0.0593816   0.142436
  0.256278    0.70074  -0.545958  -0.381069  -0.105867 -0.0588873   0.142375
  0.261082   0.694345   -0.54966  -0.384181  -0.106218 -0.0583916   0.142313
  0.265886   0.687896  -0.553299  -0.387253  -0.106566 -0.0578944   0.142252
  0.270693   0.681393  -0.556873  -0.390284  -0.106911 -0.0573957   0.142192
    0.2755   0.674837  -0.560384  -0.393274  -0.107253 -0.0568957   0.142131
  0.280307   0.668229   -0.56383  -0.396224  -0.107592 -0.0563942   0.142071
  0.285114    0.66157  -0.567211  -0.399133  -0.107927 -0.0558913   0.142012
   0.28992    0.65486  -0.570526     -0.402   -0.10826 -0.0553871   0.141952
  0.294726     0.6481  -0.573776  -0.404827   -0.10859 -0.0548815   0.141893
  0.299529    0.64129   -0.57696  -0.407612  -0.108916 -0.0543746   0.141835
   0.30433   0.634431  -0.580077  -0.410355   -0.10924 -0.0538663   0.141776
  0.309129   0.627524  -0.583127  -0.413057   -0.10956 -0.0533567   0.141718
  0.313924    0.62057   -0.58611  -0.415717  -0.109877 -0.0528458    0.14166
  0.318715   0.613568  -0.589025  -0.418335  -0.110191 -0.0523337   0.141603
  0.323502   0.606521  -0.591873  -0.420911  -0.110503 -0.0518202   0.141546
  0.328284   0.599428  -0.594652  -0.423444   -0.11081 -0.0513055   0.141489
  0.333061    0.59229  -0.597362  -0.425936  -0.111115 -0.0507896   0.141433
  0.337832   0.585108  -0.600004  -0.428385  -0.111417 -0.0502724   0.141377
 0.342596  0.577883 -0.602577 -0.430791 -0.111715 -0.049754  0.141322
  0.347354   0.570615   -0.60508  -0.433155  -0.112011 -0.0492344   0.141267
  0.352104   0.563304  -0.607513  -0.435476  -0.112303 -0.0487136   0.141212
  0.356847   0.555953  -0.609876  -0.437754  -0.112592 -0.0481917   0.141158
  0.361581   0.548561  -0.612168  -0.439989  -0.112878 -0.0476685   0.141104
  0.366306   0.541129   -0.61439  -0.442181  -0.113161 -0.0471443   0.141051
  0.371022   0.533658  -0.616541   -0.44433  -0.113441 -0.0466189   0.140998
  0.375728   0.526148  -0.618621  -0.446436  -0.113717 -0.0460924   0.140945
  0.380423   0.518601  -0.620629  -0.448498  -0.113991 -0.0455648   0.140893
  0.385108   0.511016  -0.622566  -0.450518  -0.114261 -0.0450361   0.140841
  0.389781   0.503395  -0.624431  -0.452493  -0.114528 -0.0445064    0.14079
  0.394442   0.495739  -0.626223  -0.454426  -0.114792 -0.0439756   0.140739
  0.399091   0.488048  -0.627943  -0.456314  -0.115053 -0.0434437   0.140688
  0.403727   0.480323  -0.629591  -0.458159   -0.11531 -0.0429108   0.140638
  0.408349   0.472564  -0.631166  -0.459961  -0.115565 -0.0423769   0.140589
 0.412958  0.464773 -0.632667 -0.461719 -0.115816 -0.041842   0.14054
  0.417552    0.45695  -0.634096  -0.463433  -0.116064 -0.0413061   0.140491
  0.422131   0.449096  -0.635451  -0.465103  -0.116309 -0.0407693   0.140443
  0.426695   0.441212  -0.636733  -0.466729   -0.11655 -0.0402314   0.140395
  0.431242   0.433297   -0.63794  -0.468311  -0.116789 -0.0396927   0.140348
 0.435774  0.425355 -0.639074  -0.46985 -0.117024 -0.039153  0.140301
  0.440288   0.417384  -0.640134  -0.471344  -0.117256 -0.0386124   0.140255
  0.444786   0.409385   -0.64112  -0.472795  -0.117485 -0.0380708    0.14021
  0.449265   0.401361  -0.642031  -0.474201  -0.117711 -0.0375284   0.140164
  0.453726    0.39331  -0.642868  -0.475564  -0.117933 -0.0369851    0.14012
 0.458168  0.385234  -0.64363 -0.476882 -0.118152 -0.036441  0.140075
  0.462591   0.377134  -0.644318  -0.478157  -0.118368 -0.0358959   0.140032
  0.466994   0.369011  -0.644931  -0.479387  -0.118581 -0.0353501   0.139989
  0.471377   0.360865  -0.645468  -0.480574  -0.118791 -0.0348034   0.139946
 0.475739  0.352697 -0.645931 -0.481716 -0.118997 -0.034256  0.139904
   0.48008   0.344508  -0.646319  -0.482814  -0.119201 -0.0337077   0.139862
  0.484399   0.336298  -0.646631  -0.483869  -0.119401 -0.0331586   0.139821
  0.488696   0.328069  -0.646869  -0.484879  -0.119597 -0.0326088   0.139781
  0.492971   0.319822   -0.64703  -0.485845  -0.119791 -0.0320582   0.139741
  0.497222   0.311556  -0.647117  -0.486768  -0.119981 -0.0315069   0.139701
   0.50145   0.303273  -0.647128  -0.487646  -0.120168 -0.0309549   0.139662
  0.505654   0.294973  -0.647064  -0.488481  -0.120352 -0.0304021   0.139624
  0.509833   0.286658  -0.646924  -0.489272  -0.120533 -0.0298486   0.139586
  0.513988   0.278328  -0.646709  -0.490019   -0.12071 -0.0292945   0.139549
  0.518117   0.269984  -0.646418  -0.490722  -0.120885 -0.0287396   0.139512
   0.52222   0.261626  -0.646051  -0.491381  -0.121056 -0.0281841   0.139476
 0.526297  0.253257  -0.64561 -0.491997 -0.121223 -0.027628   0.13944
  0.530347   0.244875  -0.645092  -0.492569  -0.121388 -0.0270712   0.139405
   0.53437   0.236483  -0.644499  -0.493098  -0.121549 -0.0265138   0.139371
  0.538366    0.22808  -0.643831  -0.493583  -0.121707 -0.0259558   0.139337
  0.542333   0.219669  -0.643087  -0.494024  -0.121862 -0.0253972   0.139304
 0.546272  0.211248 -0.642267 -0.494423 -0.122014 -0.024838  0.139271
  0.550182    0.20282  -0.641372  -0.494778  -0.122162 -0.0242782   0.139239
  0.554063   0.194385  -0.640402   -0.49509  -0.122307 -0.0237179   0.139208
 0.557914  0.185944 -0.639357 -0.495358 -0.122449 -0.023157  0.139177
  0.561735   0.177498  -0.638236  -0.495584  -0.122587 -0.0225956   0.139146
  0.565525   0.169047   -0.63704  -0.495767  -0.122723 -0.0220337   0.139117
  0.569284   0.160593  -0.635769  -0.495907  -0.122855 -0.0214713   0.139088
  0.573012   0.152136  -0.634423  -0.496004  -0.122984 -0.0209084   0.139059
 0.576707  0.143676 -0.633002 -0.496058 -0.123109 -0.020345  0.139031
  0.580371   0.135215  -0.631507   -0.49607  -0.123232 -0.0197811   0.139004
  0.584002   0.126754  -0.629937   -0.49604  -0.123351 -0.0192168   0.138977
   0.5876  0.118293 -0.628292 -0.495967 -0.123467 -0.018652  0.138951
  0.591164   0.109833  -0.626572  -0.495852  -0.123579 -0.0180868   0.138926
