q0 q1 q2 q3 wx wy wz
 -0.78227  0.432212 -0.300775 -0.332837  0.168745  0.110857 0.0890004
-0.780542  0.429581 -0.299337 -0.341484  0.169141  0.110351  0.088829
-0.778846  0.426819 -0.297778 -0.350074  0.169534  0.109845 0.0886578
-0.776977  0.424132 -0.296295 -0.358647  0.169925  0.109338 0.0884868
-0.774987  0.421492 -0.294817 -0.367182  0.170314  0.108832 0.0883161
-0.772904  0.418818 -0.293247 -0.375787    0.1707  0.108325 0.0881456
-0.770792  0.416149 -0.291623  -0.38426  0.171084  0.107818 0.0879753
-0.768589  0.413352 -0.290104 -0.392748  0.171466   0.10731 0.0878053
-0.766311  0.410654 -0.288464 -0.401147  0.171845  0.106803 0.0876355
-0.763915  0.407901 -0.286786  -0.40964  0.172222  0.106295  0.087466
 -0.76148  0.405157 -0.285082    -0.418  0.172596  0.105787 0.0872968
-0.759017  0.402334 -0.283307 -0.426331  0.172969  0.105278 0.0871278
 -0.75644  0.399519 -0.281372 -0.434756  0.173338   0.10477 0.0869591
-0.753701  0.396754 -0.279536 -0.443149  0.173706  0.104261 0.0867906
-0.750918  0.393944 -0.277657 -0.451483  0.174071  0.103753 0.0866224
-0.748065  0.391155 -0.275718 -0.459756  0.174434  0.103244 0.0864545
-0.745161  0.388343 -0.273693 -0.467993  0.174795  0.102735 0.0862869
-0.742139  0.385601 -0.271802 -0.476094  0.175153  0.102225 0.0861195
-0.739048  0.382777 -0.269741 -0.484282   0.17551  0.101716 0.0859525
-0.735949  0.379893 -0.267663 -0.492359  0.175864  0.101207 0.0857857
-0.732727  0.377124 -0.265559 -0.500366  0.176215  0.100697 0.0856193
-0.729427  0.374348 -0.263415 -0.508344  0.176565  0.100187 0.0854531
-0.725984  0.371585 -0.261258 -0.516349  0.176912 0.0996774 0.0852873
-0.722473   0.36874 -0.259093 -0.524341  0.177257 0.0991675 0.0851217
-0.718871  0.365901 -0.256914 -0.532293    0.1776 0.0986576 0.0849565
-0.715284  0.363133 -0.254594 -0.540079  0.177941 0.0981475 0.0847916
-0.711566  0.360265 -0.252348 -0.547908  0.178279 0.0976374  0.084627
-0.707718  0.357488 -0.250104 -0.555685  0.178615 0.0971272 0.0844627
-0.703927   0.35463 -0.247717 -0.563348   0.17895  0.096617 0.0842988
-0.699964  0.351899 -0.245223 -0.571037  0.179282 0.0961068 0.0841352
-0.695938  0.349057 -0.242744  -0.57871  0.179611 0.0955965 0.0839719
-0.691774  0.346259  -0.24025 -0.586374  0.179939 0.0950862  0.083809
 -0.68758  0.343484 -0.237772 -0.593901  0.180265 0.0945758 0.0836465
-0.683368  0.340655 -0.235136 -0.601393  0.180588 0.0940655 0.0834842
-0.679111  0.337858 -0.232521 -0.608765   0.18091 0.0935552 0.0833224
